id,name,text,trans
0000000000000,プロデューサー,……\nそれにしても、いいお店だな,……\n话说，这家店真不错呀
4901800320010,千雪,ふふっ、気に入っていただけたみたいで\nなによりです,嘿嘿，看来您很喜欢呢\n那真是太好了
4901800320020,千雪,……ちなみに、プロデューサーさん\nまだ食べられますか？　チョコレート,……顺便问一下，制片人先生\n您还想吃吗？巧克力
0000000000000,プロデューサー,ああ、全然入るよ,啊啊，完全没问题
4901800320030,千雪,……よかった,……太好了
4901800320040,千雪,実はお渡ししたもの以外にも\nいくつか買ってきてまして……,其实除了之前给您的那些之外\n我还买了几样东西……
4901800320050,千雪,……今日、こちらに来るのが\nすっごく楽しみだったので,……我今天可是超级期待能来这里的
4901800320060,千雪,もうちょっと、お付き合い\nお願いしても……いいですか？,可不可以再和您多呆一会儿……行吗？
0000000000000,プロデューサー,はは、もちろん,哈哈，当然可以
4901800320070,千雪,わぁ、やった♪,哇，好开心♪
info,special_communications/490180032.json,,
译者,o3-mini,,
