id,name,text,trans
0000000000000,善村記者,２８３プロダクションさんは\nアットホーム……と聞いていますが,听说283事务所\n很有家庭氛围……
0000000000000,善村記者,実際に所属されているみなさんは\nどのように感じていますか？,实际所属的各位\n对此有什么感受呢？
4902000010010,咲耶,────そうですね\nひとことで言うなら、もうひとつの家……でしょうか,────这个嘛\n用一句话来说的话，就像是第二个家……吧
4902000010020,霧子,円香ちゃん……おはよう……\nそのお花は……？,圆香酱……早上好……\n这些花是……？
4902000010030,円香,おはよう。……これ？　仕事で頂いて……\n飾れそうな場所、まだ空いてる？,早。……这个？工作时候收到的……\n还有能装饰的地方吗？
4902000010040,恋鐘,────ふぇ、羽那、もう出掛けると？\n気を付けて行って来んね～！,────诶，羽那这就要出门了？\n路上小心呀～！
4902000010050,羽那,うんっ\nいってきます──！,嗯！\n我出发啦──！
4902000010060,はづき,あ\nクッションカバー、ほつれてる……,啊\n靠垫套开线了……
4902000010070,千雪,あ、本当\n……でも、これくらいなら直せそう,啊真的\n……不过这种程度应该能修好
4902000010080,めぐる,あれ、夏葉さんもう次の現場？　早いね……！\nいってらっしゃい！ 気を付けて！,咦，夏叶姐已经要去下一个工作现场了？好早啊……！\n路上小心！注意安全！
4902000010090,夏葉,ええ、近くだから走っていこうと思って\nありがとう、いってくるわね！,嗯，因为很近我准备跑着去\n谢谢，我出发啦！
0000000000000,善村記者,ユニットメンバー以外とも\n垣根なく交流されているんですね,看来和其他组合成员之间\n也没有隔阂地交流着呢
4902000010100,小糸,……そ、そう……\nですかね……,……是、是这样……\n吗……
4902000010110,結華,カフェ３階だってー！,咖啡厅3楼有哦——！
4902000010120,智代子,ありがとう！\n──いざ！　期間限定メニュー！,谢谢！\n——走起！限定菜单！
4902000010130,摩美々,ふふー、甜花ぁ,呵呵～甜花
4902000010140,甜花,わ……え、えと……,呜……那、那个……
4902000010150,摩美々,ふふふー……,呵呵呵～
4902000010160,甜花,ひぃ……,咿……
4902000010170,樹里,ちょ……\nなんか怯えてんぞ……！？,喂……\n怎么把人吓成这样！？
4902000010180,美琴,──あ,——啊
4902000010190,ルカ,……！\nレッスン室、美琴も使うつもりだった？,……！\n练习室美琴也要用吗？
4902000010200,美琴,うん,嗯
4902000010210,ルカ,じゃあ、一緒に,那一起吧
4902000010220,愛依,おっ、甘奈ちゃん、今日のメイクちょい攻めじゃん♪\nちょー似合ってる～,哇，甘奈酱今天的妆容有点进攻性呢♪\n超级适合你～
4902000010230,甘奈,ありがと☆　朝の占いで\n『攻め女子スタイルが吉！』って言ってたんだ～,"谢谢☆早上占卜说\n""主动出击的女生风格会带来好运""～"
4902000010240,凛世,攻め女子……\nそのようなものが──……,进攻型女生……\n居然还有这种——……
0000000000000,善村記者,お話の中からも、２８３プロダクションさんの\n魅力が垣間見えますね,从各位的谈话中\n也能感受到283事务所的魅力呢
0000000000000,善村記者,では、最後にファンのみなさんへ向けて\nメッセージをいただけますか？,那么最后请对粉丝们\n说几句话可以吗？
4902000010250,果穂,……──最後にここを折ったら……\n出来ましたー！　スッゴく飛ぶ紙飛行機！　です！,……——最后这样折一下……\n完成啦——！超级能飞的纸飞机！登场！
4902000010260,透,よーし、行けー,好嘞，去吧——
4902000010270,あさひ,おー\n飛んでるっす……──あ,哦\n飞得好远……——啊
4902000010280,にちか,いち、に、さん……で、\n軸足移して──,一、二、三……然后\n重心转移——
4902000010290,冬優子,あ、邪魔しちゃってごめんね……\nあさひちゃんから連絡があって──……え、空？,啊，打扰了不好意思……\n朝日酱联系我说——……咦，天空？
4902000010300,はるき,わぁ、虹……！\n輪っかみたいになってる……！,哇，彩虹……！\n像圆环一样……！
4902000010310,雛菜,あは～\n虹の輪っか、雛菜も見にいこう～,啊哈～\n雏菜也要去看彩虹圆环～
4902000010320,灯織,……綺麗\nみんなも、この空を見てるかな……,……真美\n大家也都在看这片天空吗……
4902000010330,真乃,私たちが羽ばたく姿を\nこれからも応援してもらえたら……うれしいです,希望大家今后也能继续\n支持我们展翅高飞的身影……我们会很开心的
info,special_communications/490200001.json,,
译者,deepseek-chat,,
