id,name,text,trans
0000000000000,プロデューサー,よし、いいぞ\n凛世、目を開けてくれ,好，行了。\n凛世，把眼睛睁开。
4901900240010,凛世,これは…………,这是什么…………
0000000000000,プロデューサー,クッキー作ってみたんだ。ハート型は俺には難しくて……\nただの丸になっちゃってごめんな,我试着做了曲奇。心形对我来说太难了……\n只是做成了圆形，真不好意思。
4901900240020,凛世,いえ……いえ……！　大変嬉しく…………\nありがとうございます……プロデューサーさま……,不……不……！我真的很高兴…………\n非常感谢……制片人大人……
0000000000000,プロデューサー,あ、言っておくけど、味は保証できないというか……,啊，不过先说好，味道可能没法保证……
4901900240030,凛世,大事なのは……\n想いでございますゆえ……,重要的……\n是心意……
0000000000000,プロデューサー,────ははっ\nうん、そうだな,────哈哈\n嗯，说的没错。
4901900240040,凛世,では……\nいただきます……,那么……\n我就开动了……
4901900240050,凛世,────……,────……
4901900240060,凛世,────プロデューサーさまの……想い……\n言葉に……なりません……,────制片人大人的……心意……\n无法化作言语……
info,special_communications/490190024.json,,
译者,o3-mini,,
