id,name,text,trans
3003024010010,めぐる,『一緒にこの夏を塗りつぶしちゃおう！』,「一起用我们的色彩填满这个夏天吧！」
3003024010020,灯織,『あなたの色で』,「用你的颜色」
3003024010030,真乃,『思い思いに』,「随心所欲地」
3003024010040,めぐる,『ワクワクもドキドキも、ヒカリになって』,「兴奋和心跳，都化作光芒」
3003024010050,灯織,『繋がって、共鳴する』,「连接起来，共鸣」
3003024010060,真乃,『カラフルなコミュニティ』,「多彩的社区」
3003024010070,めぐる,えいっ！,来吧！
3003024010080,灯織,私も……えいっ……！,我也……来吧……！
3003024010090,灯織,わっ……,哇……
3003024010100,真乃,ふふっ……できたっ,呵呵……完成了
3003024010110,真乃,……次は……\nもっと、思い切り……えいっ,……接下来……\n更加大胆一点……来吧
3003024010120,灯織,──自由にって言われたけど\nこんなにしちゃってよかったのかな……？,——虽然说是自由发挥\n但这样做真的没问题吗……？
3003024010130,めぐる,大丈夫！\n『いっぱいペンキ使って遊んで！』ってオーダーだもん！,没问题！\n「用很多颜料尽情玩耍！」这是订单来的！
3003024010140,灯織,そう、だよね……,是啊，没错……
3003024010150,灯織,それにしても、こんなに汚れを気にせず遊ぶのって\nいつぶりだろう,话说回来，好久没这么无忧无虑地玩了\n到底有多久了呢
3003024010160,真乃,うん……小さい頃に戻ったみたい……,嗯……感觉像回到了小时候……
3003024010170,めぐる,うんうん！\nクレヨンとか絵の具とかいっぱい使ってた！,嗯嗯！\n小时候经常用蜡笔和颜料玩！
3003024010180,灯織,ふふっ、たくさんの色を使うのが楽しかったな,呵呵，用很多颜色真的很开心呢
0000000000000,スタッフ,お疲れ様でーす！\n映像チェック完了しました,辛苦了！\n视频检查完成了
0000000000000,スタッフ,イルミネのみなさんは個人シーンの\nスタンバイお願いします,Illumination的大家请准备个人镜头
3003024010181,一同,はい,明白
3003024010190,めぐる,ふー……\n終わったー！,呼——\n结束了！
3003024010200,灯織,スムーズに終わってよかったね,顺利结束真是太好了
3003024010210,真乃,うん,嗯
3003024010220,めぐる,でもでも……\nわたしたちはまだやることがあります！,不过……\n我们还有事情要做！
3003024010230,灯織,それって、ミニライブのこと？,是说迷你演唱会的事吗？
3003024010240,真乃,あ──……そうだ\nコンセプトを考えなくちゃ……だよね,啊──……对了\n得想好主题……对吧
3003024010250,めぐる,そうそう！,没错没错！
3003024010260,めぐる,せっかくだから、\n今案を出しちゃうのはどうかな？,既然这样，\n不如现在就提出点子怎么样？
3003024010270,灯織,そうだね\n私はまだうまく言葉にできないんだけど……,好啊\n虽然我还没能很好地用言语表达……
3003024010280,灯織,私たちらしさっていうか、ファンのみなさんに\nもっと寄り添えるものにできたらなって、思ってる,我希望能做出更贴近我们自己的东西，\n也更能贴近粉丝们的心意
3003024010290,真乃,ほわ……,唔……
3003024010300,めぐる,『寄り添う』、いいね！\nわたしも寄り添いたい！,「贴近」，很好！\n我也想更贴近大家！
3003024010310,灯織,……ありがとう\nふたりはどう？,……谢谢\n你们两个呢？
3003024010320,真乃,う、うん……っ\nえっと……,嗯，嗯……\n那个……
3003024010330,真乃,……私は、みんなと一緒に\nあったかい気持ちになれたらいいな……って,……我希望能和大家一起\n感受到温暖的心情……就是这样
3003024010340,灯織,それも素敵だね,那也很棒呢
3003024010350,めぐる,ね！\nいいね、『あったかい気持ち』！,对吧！\n「温暖的心情」真不错！
3003024010360,灯織,めぐるはどう？,巡你怎么想？
3003024010370,めぐる,わたしは……\nうーん……,我呢……\n唔……
3003024010380,めぐる,色んな人がいて、色んな気持ちがあって……\nそれでいいんだけど、それだけじゃないっていうか──,有各种各样的人，有各种各样的感情……\n虽然这样很好，但又不仅仅是这样──
3003024010390,めぐる,ごめん！\n浮かんではいるんだけど、うまく言葉にできないや……,抱歉！\n虽然有想法，但就是说不出口……
3003024010400,灯織,ううん\nなんとなくだけど、わかるよ,没关系\n虽然只是感觉，但我懂的
3003024010410,真乃,めぐるちゃんの気持ちが\n伝わってくるから,因为能感受到巡的心情传达过来了
3003024010420,めぐる,真乃ー！　灯織ー！,真乃——！灯织——！
3003024010421,真乃＆灯織,ふふ……,呵呵……
3003024010430,灯織,ちょっと、めぐる……！,喂，巡……！
3003024010440,めぐる,えへへ\nごめん、嬉しくって,嘿嘿\n抱歉，我太开心了
3003024010450,灯織,３人で案を出し合ったけど……\nコンセプトをかためるまで、もう少し時間が必要そうだね,我们三个人虽然交换了意见……\n但看来还需要一点时间才能确定主题
3003024010460,めぐる,うん\nあっ、そうだ！,嗯\n啊，对了！
3003024010470,めぐる,うちでお泊り会して\n話し合う……なんてどうかな？,要不在我家举办个过夜会\n一起讨论怎么样？
3003024010480,灯織,いいね,好啊
3003024010490,真乃,うん\n楽しそう……,嗯\n听起来很有趣……
3003024010500,めぐる,やったー！\nあとね、さっきもらったゲームも一緒にやりたい！,耶！\n还有，刚才拿到的游戏我也想一起玩！
3003024010510,灯織,クライアントさんからいただいたサンプルね,是客户给我们的样品游戏吧
3003024010520,真乃,私も、ふたりと一緒に遊べたらいいなって\n思ってた……,我也一直想和你们两个一起玩……
3003024010530,灯織,それじゃ決まりだね,那就这么定了
3003024010531,真乃＆めぐる,うん,嗯
info,produce_events/300302401.json,,
译者,gpt-4.1-mini,,
