id,name,text,trans
5003006050010,夏葉,──、ひゃ……っ,"──，哎……  "
5003006050020,夏葉,びっ……くりした……──\n大きいクモね……,"吓……了一跳……──\n好大的蜘蛛啊……  "
5003006050030,夏葉,（このあたり、自然が多いからかしら──\nこんなに育つんだわ……）,"（这附近，可能是自然环境多的缘故──\n居然长这么大了……）  "
5003006050040,冬優子,（……？）,"（……？）  "
5003006050050,冬優子,（……\nなんであんなとこ突っ立ってんの……？）,"（……\n为什么站在那里不动呢……？）  "
5003006050060,冬優子,夏葉さーん、お疲れ様ー！,"夏叶小姐——，辛苦了——！  "
5003006050070,夏葉,！\nあら、お疲れ様！,"！\n哎，辛苦了！  "
5003006050080,夏葉,ごめんなさい、通れなかったわよね──,"抱歉，让你过不去吧──  "
5003006050090,夏葉,って、いけない……！\nこっちに来ちゃダメ！,"不行……！\n不要过来这边！  "
5003006050100,冬優子,えっ……？,"诶……？  "
5003006050110,夏葉,……っ、……,"……っ，……  "
5003006050120,夏葉,────っ、クモがいるの！\n大きいのが……！,"────有只蜘蛛！\n而且是很大的……！  "
5003006050130,夏葉,苦手なのよね……！？\n迂回した方がいいわ……！,"我害怕它……！？\n还是绕开走吧……！  "
5003006050140,冬優子,！,"！  "
5003006050150,冬優子,（この人──\nふゆが虫嫌いだからって、わざわざ……？）,"（这个人──\n是因为冬优子怕虫子，特意这样做的吗……？）  "
5003006050160,夏葉,！,"！  "
5003006050170,夏葉,逃げて冬優子こっちに来てる────！,"快逃，冬优子往这边来────！  "
5003006050180,冬優子,やっ、やーん……！,"呀，啊啊——……！  "
5003006050190,夏葉,──急ぎましょう……！,"──赶紧走吧……！  "
5003006050200,冬優子,うん……！,"嗯……！  "
5003006050201,夏葉＆冬優子,はぁ……はぁ……,"呼……呼……  "
5003006050210,夏葉,ごめんなさい……急に……,"抱歉……突然这样……  "
5003006050220,夏葉,それにこんなに急かしてしまって──,"还让你这么着急──  "
5003006050230,冬優子,ううん、そんな\n夏葉さんはふゆのこと考えてくれたんだもん,"不不，没关系\n因为夏叶小姐是为我着想才这样  "
5003006050240,冬優子,むしろありがとう……！,"反而谢谢你……！  "
5003006050250,夏葉,ううん\nこちらこそ、『そんな』だわ……！,"不，是我才该说“没关系”呢……！  "
5003006050251,夏葉＆冬優子,──,"──  "
5003006050260,冬優子,──ふふっ,"──呵呵  "
5003006050270,冬優子,夏葉さんって、\n大人で完璧な人ってイメージだったから,"一直觉得夏叶小姐是个成熟又完美的人  "
5003006050280,冬優子,ふゆの苦手なもので一緒に慌ててくれたの、\nすっごく嬉しかった,"这次看到你和我一起慌张，\n真的很开心  "
5003006050290,冬優子,勝手に親近感♡,"感觉特别亲近♡  "
5003006050300,夏葉,……本当？\nならよかった,"……真的吗？\n那就好  "
5003006050310,夏葉,バタバタしたところを見せてしまったけど──,"虽然让你看见我慌乱的样子──  "
5003006050320,夏葉,それで親近感を持ってもらえたなら\nいいサプライズだったのね,"如果因此让你觉得亲近\n那是个不错的惊喜呢  "
5003006050330,冬優子,うん！,"嗯！  "
5003006050340,冬優子,──それから、もうひとつ\nふゆの苦手なもの、知っててくれたのも嬉しかったなぁ,"──还有，还有一件事\n你知道我害怕的东西，我也很开心呢  "
5003006050350,夏葉,ふふ\n以前雑誌のインタビューで答えていたでしょう？,"呵呵\n之前不是在杂志采访里回答过吗？  "
5003006050360,冬優子,わ！\nストレイライトのインタビュー、読んでくれてたの──？,"哇！\n你看过Straylight的采访吗──？  "
5003006050370,夏葉,ええ、２８３のみんなが出ているものだから,"嗯，因为是283大家都参加的采访  "
5003006050380,冬優子,！,"！  "
5003006050390,夏葉,さすがに全部は目を通せていないけど──\n読んだものに書いてある情報でよかったわ,"虽然没能全都看完──\n但看了写着内容的信息就足够了  "
5003006050400,冬優子,──すごいよ夏葉さん……！,"──夏叶小姐真厉害……！  "
5003006050410,冬優子,簡単なことみたいに言ってるけど\nそれってみんなにできることじゃないよ……！？,"你说得好像很简单，\n但那可不是谁都能做到的……！？  "
5003006050420,夏葉,ええ……？\nそんなことないでしょう,"是吗……？\n我倒觉得没那么难啊  "
5003006050430,冬優子,そんなことあるよー,"才没那么简单呢——  "
5003006050440,冬優子,（有栖川夏葉）,"（有栖川夏叶）  "
5003006050450,冬優子,（自覚がない分、タチが悪いわ────）,（越是不自知，越是麻烦呢────）
info,produce_events/500500605.json,,
译者,gpt-4.1-mini,,
