id,name,text,trans
0000000000000,番組プロデューサー,えー、みなさんタイトなスケジュールの中、\n撮影お疲れ様でした！　乾杯！,呃，大家在这么紧凑的行程中拍摄辛苦了！干杯！
2012021110001,凛世＆プロデューサー,乾杯……！,干杯……！
2012021110010,凛世,────……,────……
2012021110020,凛世,……ん……,……嗯……
2012021110030,凛世,……！,……！
2012021110040,凛世,も、もしもし……！,喂，喂……！
0000000000000,プロデューサー,『ああ、凛世、お疲れ様\nそろそろ寮に着くけど、支度は大丈夫そうか？』,『啊，凛世，辛苦了\n快到宿舍了，准备还好吗？』
2012021110050,凛世,あ、あの──……,啊，那个──……
0000000000000,プロデューサー,『あれ────\nもしかして……今起きた感じか？』,『咦────\n难道说……你现在才醒过来？』
2012021110060,凛世,……\nも、申し訳──……,……\n很、不好意思──……
0000000000000,プロデューサー,『ああ、大丈夫だよ。打ち上げまでまだ時間はあるし、\nゆっくりそっちに向かうな。慌てなくていいから』,『啊，没关系。离庆功宴还有时间，\n慢慢朝那边走就行，不用急的。』
2012021110070,凛世,は、はい……,好、好的……
0000000000000,番組プロデューサー,それでは続きまして、\n杜野凛世さん、ご挨拶をお願いいたします！,那么接下来，\n请杜野凛世小姐致辞！
2012021110080,凛世,はい……,嗯……
2012021110090,凛世,短い……撮影期間でございましたが……\n素敵な作品に……携わることができ……,虽然拍摄时间很短……\n但能参与到这部出色的作品里……
2012021110100,凛世,大変嬉しく……思っております……,我真的非常开心……
2012021110110,凛世,演じさせていただいた……役は……,能让我出演的……那个角色……
2012021110120,凛世,想い人に……想いを伝えられない……\n女性でしたが……,是一位……无法向心上人传达情感的女性……
2012021110130,凛世,たとえ……悲しい結果になろうとも……\n想いは……,即使……结果可能会令人悲伤……\n但心意……
2012021110140,凛世,形にするべきだと……,我觉得一定要将它以某种形式表达出来……
2012021110150,凛世,そのことに……\n意味があると……,我认为其中……\n蕴含着意义……
2012021110160,凛世,役のおかげで……\n改めて……気付くことができました……,多亏了那个角色……\n我再次体会到了这一点……
0000000000000,プロデューサー,（みんな盛り上がってるな……\n凛世も、楽しそうに監督と話してる──）,（大家都兴致高昂呢……\n凛世也似乎在和导演聊得很开心──）
2012021110170,凛世,完成した作品も……\n拝見させていただき……,我也有幸……\n欣赏了完成的作品……
2012021110180,凛世,ひとつひとつのシーンに……\n監督の想いが……溢れているようで──……,每个场景里……\n似乎都洋溢着导演的情感──……
0000000000000,監督,自分の想いをこうして形にできて、私も嬉しく思ってます\n杜野さんのおかげでもある。ありがとうございました,能以这样的方式把我的情感表达出来，我也非常开心\n这也多亏了杜野小姐。谢谢大家
0000000000000,監督,──すべてのものに想いは宿り、\n想いの宿っているものは、おしなべて美しい,──一切事物都蕴含着情感，\n而充满情感的东西，总是美丽的
0000000000000,監督,私は常々そう思って作っているんです\n……逆に言うと、想いはすべてに表れるとも言える,我创作时一直抱着这样的想法\n……反过来说，情感也会体现在所有事物中
2012021110190,凛世,…………,…………
0000000000000,監督,杜野さんの佇まいや表情、視線、吐息やまばたき\nひとつひとつに、あなたの想いが表れている,杜野小姐从容的姿态、表情、目光、呼吸以及眨眼\n每个细节都流露出您的心意
0000000000000,監督,────頑張ってくださいね,────请加油哦
2012021110200,凛世,…………\nはい……,…………\n嗯……
2012021110210,凛世,プロデューサーさま……,制作人大人……
0000000000000,プロデューサー,ん？\nどうした？,嗯？\n怎么了？
2012021110220,凛世,約束の……品を……,所约定的……礼物……
2012021110230,凛世,バレンタインの……贈り物でございます……\n僭越ながら……手作りにて……,这是情人节的……礼物呢……\n冒昧地说……是手工做的……
0000000000000,プロデューサー,おっ、手作りか……！　ありがとう、嬉しいよ\n────もしかして凛世、これ作ってて寝坊したのか？,哦，是手工做的……！谢谢，我真的很高兴\n────难道凛世你做这个的时候睡过头了吗？
2012021110240,凛世,は、はい……\n大変……お恥ずかしく……,是、是……\n实在……太不好意思了……
2012021110250,凛世,それに加え……凛世の不手際により……\nひとつしか……上手く作れず……,而且……因为我的失误……\n只做成了一个……
0000000000000,プロデューサー,ああ、いや、そんなことは気にしなくて大丈夫だよ\nもらえるだけでも十分嬉しいんだからさ,啊，不用在意那些细节\n能收到就已经让我非常开心了
0000000000000,プロデューサー,中、見てもいいかな？,可以让我看看里面吗？
2012021110260,凛世,はい……\nぜひ……,好的……\n请便……
0000000000000,プロデューサー,ありがとう,谢谢
0000000000000,プロデューサー,おっ、これマカロンか？\nははっ、ハート型だ！　すごいな、凛世！,哦，这是马卡龙吗？\n哈哈，是心形的！太棒了，凛世！
2012021110270,凛世,はい……！\nハートで……ございます……,是的……！\n真的是心形呢……
0000000000000,プロデューサー,うん…………本当だ────\n美しいな、想いが宿っているものは,嗯…………确实如此────\n充满情感的东西总是那么美
0000000000000,プロデューサー,でも……このたったひとつに、凛世の想いが\n宿ってるって思うとさ……食べられないよな,但是……一想到这唯一的一个里凝聚了凛世的心意……就不忍心吃掉呢
2012021110280,凛世,プロデューサーさま…………,制作人大人…………
2012021110290,凛世,どうぞ……お召し上がりくださいませ……\nそのために……形にしましたゆえ……,请……务必享用……\n正因为如此……才将它制成这样的……
2012021110300,凛世,凛世のハートを……\n受け止めてくださいませ……,请……收下凛世的心意……\n请接受我的心……
info,produce_events/201202111.json,,
译者,o3-mini,,
