id,name,text,trans
3025016010010,にちか,…………,…………
0000000000000,スタイリスト,じゃあ、次はこっち合わせてみましょうか,那接下来试试这套搭配吧
3025016010020,美琴,はい,好的
3025016010030,にちか,あ……,啊……
3025016010040,美琴,どうかした？,怎么了？
3025016010050,にちか,あ、いえ……\nなんでもないです！,没、没什么...\n真的没事！
3025016010060,美琴,そう,这样啊
0000000000000,スタイリスト,緋田さん、\nやっぱりどれも似合うんですよね……,绯田小姐\n果然穿什么都合适呢...
0000000000000,スタイリスト,好みのドレスはありましたか？,有比较中意的礼服吗？
3025016010070,美琴,好み……,中意...
3025016010080,美琴,特に、ないかな,没什么特别的
0000000000000,スタイリスト,うーん……\nそうですか,嗯...\n这样啊
0000000000000,スタイリスト,──じゃあ\n七草さんから見て、どうでした？,──那\n七草觉得呢？
3025016010090,にちか,え……,诶...
3025016010100,にちか,私、ですか？,问我吗？
3025016010110,にちか,あ、あの……\n全部ほんと似合ってたんですけど,那、那个...\n其实每套都很适合
3025016010120,にちか,さっきの…… \n裾がひらひらってなってるやつとかどうです？,刚才那件...\n裙摆蓬蓬的那件怎么样？
3025016010130,美琴,じゃあ、それにしようかな,那就选那件吧
3025016010140,にちか,…………,…………
3025016010150,美琴,ありがとう,谢谢
3025016010160,にちか,いえ……！\n決まって、よかったです……,不用谢...！\n能定下来真是太好了...
3025016010170,美琴,１、２、３、４,1、2、3、4
3025016010180,にちか,あ、すみません……！,啊对不起...！
3025016010190,美琴,……\n少し休憩しよう,...\n稍微休息下吧
3025016010200,にちか,はい……,好...
3025016010210,にちか,あ、あの……もっと派手な動きとかに\nした方がいいんですかね……,那个...是不是该把动作\n做得更夸张些比较好...
3025016010220,美琴,……どうして？,...为什么？
3025016010230,にちか,……今度、私たちが出るのって──,...这次我们要参加的──
3025016010240,にちか,大物芸能人とか演歌歌手とかが、\nメインのゲストみたいですけど……,听说主宾都是大牌艺人\n和演歌歌手之类的...
3025016010250,にちか,ほんとに……シーズが呼ばれたんです？,真的...会邀请SHHis吗？
3025016010260,にちか,船の上で……\n大企業のパーティー、とか──,在邮轮上...\n参加大企业的派对什么的──
3025016010270,にちか,……それに\nダンスはできるだけ控えてほしいって────,...而且要求\n尽量少跳舞────
3025016010280,にちか,来るお客さん……\n私たちのこと知ってくれてるんですかね？,来的客人...\n会认识我们吗？
3025016010290,にちか,年齢層も、なんか……高そうですし……,观众年龄层...\n感觉也挺高的...
3025016010300,美琴,そうだね,是啊
3025016010310,にちか,あの……\nダンスはほぼできないって話だったんで,那个...\n听说几乎不能跳舞
3025016010320,にちか,手の動きとか、せめてステップとか\n派手にした方がいいのかなって、思って……,我在想要不要至少把手部动作\n和舞步做得夸张些...
3025016010330,美琴,……それは、いつも通りでいいと思う,...保持平常那样就好
3025016010340,美琴,今回はボーカルをメインに\n見せられればいいはずだから,这次只要把歌唱部分\n好好展现出来就行
3025016010350,にちか,はい……！,好的...！
3025016010360,にちか,でも……\nリハできないのはやっぱり厳しいですよね,但是...\n不能彩排果然很麻烦呢
3025016010370,にちか,音の返りとかちゃんと確認できたらいいんですけど\n音響設備も整ってないって、言ってましたし……,要是能确认音响效果就好了\n但听说音响设备也不完善...
3025016010380,美琴,……辞退したい、ということ？,...是想推辞吗？
3025016010390,にちか,えっ、あっ、違います！,诶，不，不是的！
3025016010400,にちか,あの…… \nちょっと不安だなって思っただけで……,只是...\n稍微有点不安...
3025016010410,美琴,そっか,这样啊
3025016010420,にちか,…………,…………
3025016010430,にちか,リハできない、音響設備も整ってない\n激しいダンスも無理って────,不能彩排、音响设备不完善\n还不能激烈跳舞────
3025016010440,にちか,それって……\nえー……,这简直...\n呃...
3025016010450,美琴,……でも,...但是
3025016010460,美琴,どんな環境だとしても\nやれることをやるだけだと思う,我觉得不管什么环境\n只要做好能做的事就够了
3025016010470,にちか,……\nそ、そうですよね……！,...说、说得对...！
3025016010480,にちか,やるしか、ないですね……,只能努力了呢...
3025016010490,美琴,そうだね,是啊
3025016010500,にちか,休憩、終わりですね……,休息...结束了吧...
3025016010510,美琴,練習、再開しようか,继续练习吧
3025016010520,にちか,はい……！,好的...！
info,produce_events/302501601.json,,
译者,deepseek-chat,,
